File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\CEmenu1.asp,timedRefresh(timeoutPeriod),6,2,2,0,1,0,3,6,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\incCommon.asp,ClientEncode(strvar),2,2,1,1,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\ADOUTILS.ASP,"RecordSetAsArray(rsADO,includeHeaderRow)",24,23,15,6,1,2,0,13,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\ADOUTILS.ASP,RecordSetAsDSO(rsADO),20,20,14,4,0,1,0,5,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\ADOUTILS.ASP,"RecordSetAsList(rsADO,field)",13,13,9,3,0,1,0,7,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\ADOUTILS.ASP,"RecordAsObject(rsADO,objectName)",26,26,18,6,0,1,0,7,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\BUTTON.ASP,"CreateButton(strName,funcInit,objParent)",13,13,9,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\BUTTON.ASP,_Button(strName),11,7,6,1,2,0,2,6,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\BUTTON.ASP,_BTN__Prototype(),184,151,89,30,26,6,7,53,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\CHECKBOX.ASP,"CreateCheckbox(strName,funcInit,objParent)",13,13,9,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\CHECKBOX.ASP,_Checkbox(strName),12,8,7,1,2,0,2,4,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\CHECKBOX.ASP,_CHK__Prototype(),202,162,99,29,32,6,8,53,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\DATAGRID.ASP,"CreateDataGrid(strName,funcInit,objParent)",14,13,9,3,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\DATAGRID.ASP,"_DataGrid(strName,objParent)",23,17,16,1,3,8,3,28,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\DATAGRID.ASP,_DG__Prototype(),363,313,197,52,39,17,11,133,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\DATAGRID.ASP,"_DG__selectRow(strName,nIndex)",9,9,6,2,0,1,0,8,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\LABEL.ASP,"CreateLabel(strName,funcInit,objParent)",10,10,8,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\LABEL.ASP,_Label(strName),7,5,4,1,1,0,1,2,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\LABEL.ASP,_LBL__Prototype(),159,129,82,28,24,1,6,21,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\LISTBOX.ASP,"CreateListbox(strName,funcInit,objParent)",11,10,8,3,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\LISTBOX.ASP,"_Listbox(strName,objParent)",12,8,7,1,2,0,2,4,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\LISTBOX.ASP,_LB__Prototype(),358,316,195,71,34,16,8,97,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\OPTIONGRP.ASP,"CreateOptionGroup(strName,funcInit,objParent)",10,10,8,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\OPTIONGRP.ASP,_OptionGroup(strName),12,8,7,1,2,0,2,4,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\OPTIONGRP.ASP,_OPT__Prototype(),405,349,212,82,48,12,8,84,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,StartPageProcessing(),32,26,16,7,6,2,0,10,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,EndPageProcessing(),18,15,8,5,3,1,0,8,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,_SOMObject(),515,365,223,98,35,8,115,513,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,_SOM_getDataSource(),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,_SOM_setDataSource(objDataSource),16,15,10,5,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,_SOM_getDataField(),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,_SOM_setDataField(strDataField),13,13,9,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,CreateEventManager(),2,2,2,1,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,_EventManager(),5,5,4,1,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,_EM_Prototype(),135,116,67,28,16,3,3,37,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,_EM__fireEvent(funcToFire),5,5,3,1,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.ASP,"_EM__onclientevent(strName,strEvent)",10,9,6,2,1,2,0,14,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RECORDSET.ASP,"CreateRecordset(strName,funcInit,objParent)",10,8,7,3,1,0,1,5,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RECORDSET.ASP,_Recordset(strName),37,30,29,1,3,0,4,17,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RECORDSET.ASP,_RS__Prototype(),816,714,441,164,74,27,28,290,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RECORDSET.ASP,CreateFields(rsADO),4,4,3,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RECORDSET.ASP,_Fields(rsADO),6,5,4,1,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RECORDSET.ASP,_FS__Prototype(),71,61,34,16,7,3,3,32,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,"RSDispatch(vtable,methodname)",55,49,30,13,4,2,2,22,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,Return(x),6,6,4,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,GetServerProxy(pd),16,15,9,4,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,unevalGetNextID(),2,2,2,1,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,uneval(obj),10,10,8,2,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,unevalDecl(obj),21,20,11,5,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,unevalInst(obj),29,28,16,7,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,unevalClear(obj),19,18,9,5,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,unevalDoNothing(),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,unevalConvertToString(obj),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,unevalString(str),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RS.ASP,initUneval(),114,91,61,8,18,0,5,14,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RSNAVBAR.ASP,"CreateRecordsetNavbar(strName,funcInit,objParent)",10,10,8,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RSNAVBAR.ASP,_RecordsetNavbar(strName),17,11,10,1,3,0,3,8,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\RSNAVBAR.ASP,_RSNB__Prototype(),345,297,190,49,39,2,9,39,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\TEXTBOX.ASP,"CreateTextbox(strName,funcInit,objParent)",11,10,8,3,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\TEXTBOX.ASP,_Textbox(strName),11,7,6,1,2,0,2,4,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\TEXTBOX.ASP,_TXT__Prototype(),272,231,140,46,32,5,9,51,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,_SOMObject(),20,16,16,0,2,1,2,5,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,"_SOM_invokeMethod(url,method,args)",3,3,3,1,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,_SOM_navigateURL(url),31,26,15,5,4,1,1,22,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,"_SOM_setState(strName,value)",6,6,4,3,0,1,0,5,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,_SOM_getState(strName),7,7,5,3,0,1,0,5,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,"_SOM_advise(strEvent,funcToCall)",11,11,6,4,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,"_SOM_unadvise(strEvent,nAdviseID)",13,13,6,4,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,"_SOM__fireEvent(strName,strEvent)",25,21,11,5,1,2,3,29,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,_SOM__escapePlus(value),4,4,3,2,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,"_SOM__buildURL(url,method,args)",18,18,9,5,0,1,0,2,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,"_SOM__extractValue(s,name)",11,11,8,4,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,"_SOM__insertValue(sPtr,name,value)",25,25,15,6,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\PM.JS,__Function(),15,15,12,5,0,3,0,16,
